ID_hecho,FECHA,AAAA,MM,DD,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO
2018-0127,2018-11-19,2018,11,19,CONDUCTOR,MOTO,MASCULINO,29,2018-11-19 00:00:00
2018-0129,2018-11-28,2018,11,28,CONDUCTOR,MOTO,MASCULINO,37,2018-11-30 00:00:00
2018-0131,2018-12-07,2018,12,7,CONDUCTOR,MOTO,MASCULINO,29,2018-12-07 00:00:00
2018-0134,2018-12-12,2018,12,12,PEATON,PEATON,MASCULINO,56,2018-12-13 00:00:00
2018-0143,2018-12-29,2018,12,29,CONDUCTOR,MOTO,MASCULINO,22,2018-12-29 00:00:00
2019-0001,2019-01-08,2019,1,8,CONDUCTOR,MOTO,MASCULINO,25,2019-01-08 00:00:00
2019-0002,2019-01-09,2019,1,9,CONDUCTOR,AUTO,MASCULINO,32,2019-01-09 00:00:00
2019-0003,2019-01-12,2019,1,12,CONDUCTOR,MOTO,MASCULINO,23,2019-01-12 00:00:00
2019-0005,2019-01-19,2019,1,19,CONDUCTOR,MOTO,MASCULINO,43,2019-01-19 00:00:00
2019-0007,2019-01-26,2019,1,26,CONDUCTOR,MOTO,MASCULINO,35,2019-01-26 00:00:00
2019-0008,2019-01-30,2019,1,30,CONDUCTOR,MOTO,MASCULINO,42,2019-01-31 00:00:00
2019-0009,2019-01-31,2019,1,31,CONDUCTOR,MOTO,MASCULINO,34,2019-01-31 00:00:00
2019-0012,2019-02-17,2019,2,17,CONDUCTOR,MOTO,MASCULINO,31,2019-02-20 00:00:00
2019-0013,2019-02-20,2019,2,20,PEATON,PEATON,MASCULINO,39,2019-03-02 00:00:00
2019-0015,2019-02-23,2019,2,23,CONDUCTOR,AUTO,MASCULINO,21,2019-02-23 00:00:00
2019-0016,2019-02-24,2019,2,24,CONDUCTOR,MOTO,MASCULINO,40,2019-02-24 00:00:00
2019-0017,2019-03-03,2019,3,3,CONDUCTOR,AUTO,MASCULINO,22,2019-03-07 00:00:00
2019-0018,2019-03-03,2019,3,3,PEATON,PEATON,FEMENINO,29,2019-03-03 00:00:00
2019-0020,2019-03-07,2019,3,7,CONDUCTOR,MOTO,MASCULINO,43,2019-03-07 00:00:00
2019-0021,2019-03-15,2019,3,15,CONDUCTOR,MOTO,MASCULINO,23,2019-03-16 00:00:00
2019-0023,2019-03-16,2019,3,16,CONDUCTOR,AUTO,MASCULINO,34,2019-03-16 00:00:00
2019-0024,2019-03-19,2019,3,19,CONDUCTOR,MOTO,MASCULINO,32,2019-03-19 00:00:00
2019-0025,2019-03-22,2019,3,22,PEATON,PEATON,MASCULINO,27,2019-04-04 00:00:00
2019-0029,2019-04-07,2019,4,7,CONDUCTOR,MOTO,MASCULINO,27,2019-04-07 00:00:00
2019-0030,2019-04-09,2019,4,9,CONDUCTOR,MOTO,MASCULINO,25,2019-04-09 00:00:00
2019-0033,2019-04-18,2019,4,18,CONDUCTOR,MOTO,MASCULINO,25,2019-04-18 00:00:00
2019-0036,2019-04-26,2019,4,26,CONDUCTOR,MOTO,MASCULINO,34,2019-05-02 00:00:00
